"title","stars","text"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Good place to visit to have some food"
"Pizza Hut - Union Place","5","Had a personal pan chicken tandoori, it was quite on point just like the pizza hut one looks forward to. The staff was courteous and had parking space too."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Very good place to dine in Pizza
Nice and quiet environment
Good staff service
Wide seating arrangements"
"Pizza Hut - Union Place","5","Very good service..clean place..."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Yes it was very clean beautiful environment. pizza also very good. Friendly customer service. Parking available."
"Pizza Hut - Union Place","5","The customer service was Extraordinary and also the food were also very delicious .... Cud give a 10star if possible 🥹❤️‍🩹💯"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","The first Pizza Hut outlet in Sri Lanka impresses with superb service from its attentive team. The food is served hot and bursting with flavor, complemented by a calming and spotlessly clean atmosphere. Families will appreciate the dedicated kids' playing area. While prices may be a bit higher, the overall experience justifies the cost. Highly recommended for a satisfying dining outing."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Amazing pizza"
"Pizza Hut - Union Place","1","Ordered a Seafood pasta. It was not delivered with rest of food. Had to go to billing desk to say that pasta is not delivered. After about 7 minutes, waitress who served us informed the Pasta plate cracked in the oven due to heat  and a new dish was being made. Waitress should have informed us since the Kitchen is not miles away. Pathetic service by Pizza Hut. Hope management of John Keells should take a note too."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3","Typical Pizza Hut but very slow service"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Visited this outlet after a very long time. Food quality was good. Felt the outlet was bit understaffed. For a Thursday night it was busy and crowded."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","4","Great value for money and good service. Pizzas served piping hot."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3","Normal Pizza Hut"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","The most attractive Pizza Hut I visited. Friendly service, delicious meals and nicely arranged environment. At last their bell."
"Pizza Hut - Union Place","5","Cozy place. Ample seating. Friendly staff. Play area could be cleaner. Toilets need more stringent cleaning as it was emiting odours although it looked clean. The first and oldest Pizza hut in the country, needless to say the level of maintenance is moderate but can be improved. Interior was acceptable but seats had old food residue here and there. Seats need to be sanitized. I love the food although toppings are quite sparingly put and could be more generous for the thumping prices considering the side of the pizzas."
"Pizza Hut - Union Place","5","Good place with lot of seating space comparing to other Pizza Hut"
"Pizza Hut - Union Place","5","Good service,tasty food😻💗"
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","Our overall experience was very bad. We had to stay more than an hour to get our drink, appetizer and d main meal(all three food items were served after one hour). The pizza was not that warm and the person who took our order didn't even care to provide cutlery. We also ordered a lava cake for dessert and the person who brought the food asked if it's ok to bring the cake when serving the appetizer, drink and d main meal as there is a chance to miss the order. We refused as this is not how lava cake should be eaten and we requested it to be served once we are done with the main meal. Also if they can't handle the orders then we should have been informed at first so that we would have left the place without ordering in the first place. After finishing the main meal we had to wait almost 1hr to get the dessert. For all these inconveniences they never cared to even apologize properly. We actually came to this place after 6 years while we were visiting Sri Lanka as we loved this place back then. But with the recent experience we decided that was not a good choice. Have to highlight the food was good."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","4","Tried triple chicken feast and it was yummy .....the staff was friendly.."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Food was good, but service was poor."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","1","Poor customer service"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
