title,stars,text,predicted_sentiment
Pizza Hut - Union Place,5,good place visit food,positive
Pizza Hut - Union Place,5,personal pan chicken tandoori quite point like pizza hut one looks forward staff courteous parking space,negative
Pizza Hut - Union Place,5,good place dine pizza nice quiet environment good staff service wide seating arrangements,positive
Pizza Hut - Union Place,5,good serviceclean place,positive
Pizza Hut - Union Place,5,yes clean beautiful environment pizza also good friendly customer service parking available,positive
Pizza Hut - Union Place,5,customer service extraordinary also food also delicious cud give 10star possible 🥹❤️‍🩹💯,positive
Pizza Hut - Union Place,5,first pizza hut outlet sri lanka impresses superb service attentive team food served hot bursting flavor complemented calming spotlessly clean atmosphere families appreciate dedicated kids playing area prices may bit higher overall experience justifies cost highly recommended satisfying dining outing,positive
Pizza Hut - Union Place,5,amazing pizza,positive
Pizza Hut - Union Place,1,ordered seafood pasta delivered rest food go billing desk say pasta delivered 7 minutes waitress served us informed pasta plate cracked oven due heat new dish made waitress informed us since kitchen miles away pathetic service pizza hut hope management john keells take note,negative
Pizza Hut - Union Place,3,typical pizza hut slow service,negative
Pizza Hut - Union Place,5,visited outlet long time food quality good felt outlet bit understaffed thursday night busy crowded,negative
Pizza Hut - Union Place,4,great value money good service pizzas served piping hot,positive
Pizza Hut - Union Place,3,normal pizza hut,negative
Pizza Hut - Union Place,5,attractive pizza hut visited friendly service delicious meals nicely arranged environment last bell,positive
Pizza Hut - Union Place,5,cozy place ample seating friendly staff play area could cleaner toilets need stringent cleaning emiting odours although looked clean first oldest pizza hut country needless say level maintenance moderate improved interior acceptable seats old food residue seats need sanitized love food although toppings quite sparingly put could generous thumping prices considering side pizzas,negative
Pizza Hut - Union Place,5,good place lot seating space comparing pizza hut,positive
Pizza Hut - Union Place,5,good servicetasty food😻💗,positive
Pizza Hut - Union Place,1,overall experience bad stay hour get drink appetizer main mealall three food items served one hour pizza warm person took order didnt even care provide cutlery also ordered lava cake dessert person brought food asked ok bring cake serving appetizer drink main meal chance miss order refused lava cake eaten requested served done main meal also cant handle orders informed first would left place without ordering first place finishing main meal wait almost 1hr get dessert inconveniences never cared even apologize properly actually came place 6 years visiting sri lanka loved place back recent experience decided good choice highlight food good,negative
Pizza Hut - Union Place,4,tried triple chicken feast yummy staff friendly,negative
Pizza Hut - Union Place,4,food good service poor,negative
Pizza Hut - Union Place,1,poor customer service,negative
Pizza Hut - Union Place,5,superb customer service good pizza 🥰,positive
Pizza Hut - Union Place,5,fantastic experience pizza hut union place pizzas exceptionally tasty service impeccable staff location kids friendly efficient,positive
Pizza Hut - Union Place,5,staff nice nicely decorated christmas place clean pizza hot fresh,positive
Pizza Hut - Union Place,4,good,positive
Pizza Hut - Union Place,5,best always,positive
Pizza Hut - Union Place,5,pizza hut everywhere make clients happy every time way union place branch performance superb friendly service staff atmosphere superb decorated christmas quality foods time management superb parking available also,positive
Pizza Hut - Union Place,1,staff helpful time taken give food terrible 30 minutes large pizza,negative
